Student Number, Course ID, Grade
1421008818,PSCC08,79
1421008818,ENGC20,24
1421008818,ENGC01,1
1421008818,PSYB01,83
1421008818,ENGC01,64
1421008818,ENGC08,91
1421008818,MGAD48,13
1421008818,ENGB48,25
1421008818,ENGD08,61
1421008818,ENGB48,97
1791137187,CHMB48,15
1791137187,ENGA08,75
1791137187,CHMC58,60
1791137187,CHMC48,10
1791137187,CHMA58,79
1791137187,COGA01,9
1791137187,PSCC01,60
1791137187,PSCA20,29
1791137187,PSCA58,64
1791137187,PSCB08,41
1928770469,MGFA58,93
1928770469,MGHD01,70
1928770469,CHMB58,66
1928770469,MGMA48,41
1928770469,MGHC20,89
1928770469,BIOA58,71
1928770469,MGAA08,95
1928770469,MGFB01,7
1928770469,MGMC20,96
1213866929,MGFB20,57
1213866929,CSCA58,90
1213866929,STAC20,52
1213866929,MGAB48,79
1213866929,CSCC58,74
1213866929,PSYA01,27
1213866929,STAC48,35
145817788,PSCA01,86
145817788,COGA08,32
145817788,PSCA58,26
1145293691,COGC20,91
1145293691,PSYD08,27
1145293691,COGB01,39
1145293691,COGB20,52
1145293691,PSYB08,62
15832021,BIOD20,70
15832021,BIOD20,30
15832021,PSCD20,89
15832021,PSCB20,60
15832021,PSYD08,87
1570744096,COGB08,24
1570744096,PSYB48,24
1570744096,MGFA48,85
1570744096,CHMD58,52
1570744096,MGMB01,87
1570744096,PSYB58,63
1570744096,COGA01,11
1570744096,MATA48,34
1570744096,PSYA20,68
1570744096,COGB01,93
1267784212,PSCB20,83
1267784212,PSYA58,35
1267784212,COGC48,41
1267784212,PSYD20,51
1267784212,PSYB48,48
1267784212,COGB01,37
1221708691,BIOA01,81
1221708691,PSCA01,70
1221708691,MGMA08,21
1221708691,BIOD01,19
1221708691,MGAA48,76
1221708691,BIOB58,48
1221708691,PSCB01,14
1221708691,COGB08,73
1221708691,BIOC01,32
1221708691,PSCA48,33
1770340494,MGMC58,45
1770340494,MGFD08,33
1614613792,STAD01,75
1614613792,PSCC58,23
1614613792,MATB08,30
1614613792,PSCD08,68
1614613792,MATD08,71
1614613792,CSCB58,24
1614613792,STAB08,23
1614613792,STAC08,25
1614613792,MATB48,55
1614613792,STAB48,1
1641367409,STAA20,40
1641367409,MATD08,65
1641367409,STAC08,58
1641367409,MGFA08,85
1641367409,STAA20,93
1641367409,MATA48,19
1641367409,MATB01,31
1641367409,MATA01,67
1641367409,CSCD08,3
1536756667,PSCC01,38
1536756667,MGMA08,78
1536756667,COGD20,44
1536756667,PSCD20,30
1536756667,CHMD58,69
1536756667,PSCD58,82
1536756667,PSCA48,84
1536756667,BIOD08,49
1536756667,BIOD01,57
1553347627,PSCD20,11
1553347627,MGHA58,4
1553347627,MGAC48,63
1553347627,MGFB20,20
1553347627,MGAD01,43
1553347627,MGMD58,67
1553347627,MGAA08,64
1553347627,MGHA58,74
1553347627,MGFB01,53
1553347627,MGFA08,95
1166252325,MGAC01,8
1166252325,MGFD58,58
1166252325,MGFD58,22
1166252325,MGFC20,8
1166252325,MGHB58,50
1166252325,CSCD48,1
1166252325,CSCC20,80
1166252325,MGHB20,51
1166252325,MGHA08,97
1166252325,MGAA58,15
1948547034,PSCC58,9
1948547034,PSCD58,57
1925230607,MGMA48,48
1925230607,MGFA48,57
1925230607,MGFA20,63
1925230607,MGMC08,39
1683430306,MGMB08,82
1683430306,MGMC20,32
1683430306,MGAA58,38
1683430306,MGAD48,62
1683430306,CHMD01,77
1683430306,ENGC08,58
1683430306,MGFA01,82
1558869646,BIOA08,16
1558869646,BIOA08,63
1558869646,PSCC48,4
1558869646,BIOD01,9
1558869646,BIOC58,37
1299388480,CSCD58,82
1299388480,STAD58,42
1299388480,STAC01,82
1299388480,CSCB01,44
1299388480,CSCD01,45
1299388480,MATA08,11
1299388480,MGHB48,49
1590885534,MGMA48,46
1590885534,MGFC58,10
1590885534,MGMC20,55
1590885534,MGAA08,24
1590885534,MGHD58,45
1590885534,MGMA08,81
1590885534,MGHB01,83
1590885534,MGHA01,14
1590885534,MGMC20,57
1590885534,MGAC58,82
1704953235,PSCA20,53
1704953235,BIOC08,33
1704953235,BIOC58,28
1704953235,PSCD08,29
1704953235,BIOA08,97
1704953235,BIOD20,59
1704953235,STAB20,40
1704953235,PSCB58,54
1469808711,MGAC48,50
1469808711,MGAA20,8
1469808711,PSCB20,70
1952510780,MGAD48,8
1952510780,COGB20,93
1952510780,COGD01,23
1952510780,COGD20,70
1952510780,PSYB48,67
1952510780,PSYA08,37
1952510780,PSYA08,29
1952510780,COGD48,66
1104090400,MGMD08,23
1104090400,MGHB58,20
1104090400,MGMB58,13
1104090400,MGAA08,67
1104090400,MGHC48,93
1104090400,MGAB48,28
1104090400,MGFD20,43
1104090400,MGMD08,10
1104090400,MGFA48,37
1104090400,MGAB01,67
1701675536,COGA01,79
1701675536,ENGD58,9
1701675536,MGMD58,46
1701675536,ENGC01,36
1701675536,ENGB08,91
1701675536,MGAA08,20
1701675536,ENGA48,34
1701675536,ENGC20,88
1701675536,ENGC01,67
1603674107,STAC20,95
1674640209,CSCD20,59
1674640209,STAA08,31
1674640209,STAB20,30
1674640209,MGAB08,91
1674640209,CSCC48,70
1674640209,STAC01,95
1375369642,MGMA08,67
1375369642,MGMA48,81
1375369642,MGAD58,95
1375369642,MGMD08,55
1375369642,MGFC58,78
1375369642,MGHA01,10
1375369642,MGMB08,83
1375369642,MGMB48,43
1375369642,MGHC20,42
1375369642,MGMC01,33
1233898706,PSCC08,9
1233898706,CHMC48,62
1233898706,CHMB01,29
1773405642,ENGB08,7
1773405642,ENGC08,5
1773405642,ENGB48,19
1773405642,ENGA01,90
1305526255,STAD20,18
1305526255,MATB20,52
1305526255,CSCD08,48
1305526255,CSCA08,53
1305526255,CSCD48,16
1305526255,MGFD01,56
1328765553,MGFA01,37
1328765553,MATD01,68
1328765553,CSCB08,76
1328765553,ENGC48,86
1966237208,ENGC20,54
1966237208,MGFB58,50
1966237208,COGC20,61
1966237208,CSCA58,72
1966237208,ENGB20,11
1966237208,ENGD20,15
1966237208,ENGD08,43
1966237208,ENGD48,66
1966237208,MGHA01,82
1349867495,CHMB58,18
1349867495,CHMB01,8
1349867495,PSCA01,63
1349867495,PSCA08,68
1593098318,ENGB48,27
1593098318,ENGB20,56
1593098318,ENGB01,18
1593098318,ENGB58,5
1593098318,ENGC20,6
1593098318,MGMA58,89
1879961157,MGMB08,46
1879961157,CHMD01,44
1879961157,PSCC01,94
1879961157,CHMC01,82
1879961157,PSCA20,84
1879961157,PSCA48,48
1879961157,PSCD48,76
1879961157,PSCB08,96
1879961157,MGHC48,27
1934390771,ENGB20,74
1934390771,PSCD58,91
1776484528,COGC01,37
1776484528,PSYD20,4
1776484528,PSYC48,13
1776484528,COGB20,35
1776484528,COGB08,49
1776484528,PSYA08,71
1583352414,MGFA08,43
1583352414,MGHC48,36
